Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link1,-0.0127598251073137,4.61061268743767E-20,0.0111867616952765,0,0,0,0.158831853071796,8.0146799960269E-05,-3.38751795753867E-21,-2.40517036909365E-06,0.00011828688774278,4.14957984875535E-22,0.000183265747871332,0,0,0,0,0,0,package://rrr_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rrr_description/meshes/link1.STL,,base_frame-1,좌표계10,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link2,0.13244885947785,1.21731234953969E-35,0.00551870247824376,0,0,0,0.242265482457437,0.000125716526989087,-3.76211496698067E-21,-1.35152749179836E-05,0.00183599459871424,-1.37342353502441E-38,0.0019552904576911,0,0,0,0,0,0,package://rrr_description/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rrr_description/meshes/link2.STL,,arm1-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.02,0,0,0,link1,0,0,1,,,,,,,,,,,,
link3,0.13244885947785,7.69610818219988E-36,0.0144812975217562,0,0,0,0.242265482457437,0.000125716526989087,-3.5150983533219E-22,1.35152749179836E-05,0.00183599459871424,-2.12179576529997E-38,0.0019552904576911,0,0,0,0,0,0,package://rrr_description/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rrr_description/meshes/link3.STL,,arm2-1,Origin_joint2,Axis_joint2,joint2,continuous,0.24,0,0,0,0,0,link2,0,0,1,,,,,,,,,,,,
link4,-0.000118104512646156,-1.76242540767573E-17,0.005,0,0,0,0.0353263284673395,1.33481403044476E-05,-5.01356880747101E-22,1.54259250097793E-22,2.44749336646266E-05,-4.49767816670989E-23,3.72343018279519E-05,0,0,0,0,0,0,package://rrr_description/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rrr_description/meshes/link4.STL,,arm3-1,Origin_joint3,Axis_joint3,joint3,continuous,0.24,0,0,0,0,0,link3,0,0,1,,,,,,,,,,,,
